epoch,train_loss,valid_loss,accuracy,f_beta
0,0.156930,0.251093,0.911271,0.910615
1,0.142973,0.234504,0.921663,0.921722
2,0.146647,0.281631,0.916866,0.916106
3,0.150400,0.304812,0.910472,0.909775
4,0.140726,0.274111,0.908074,0.907914
5,0.122460,0.278469,0.921663,0.920882
6,0.091452,0.231919,0.929656,0.929442
7,0.078950,0.202396,0.938449,0.938122
8,0.063269,0.238932,0.940048,0.940098
9,0.047473,0.227088,0.939249,0.939270
10,0.037640,0.225410,0.945643,0.945666
11,0.026291,0.208334,0.949640,0.949617
12,0.016708,0.210107,0.953637,0.953476
13,0.011934,0.211113,0.955236,0.955175
14,0.010687,0.211335,0.954436,0.954341
15,0.009762,0.209570,0.953637,0.953584
