epoch,train_loss,valid_loss,accuracy,f_beta
0,0.019235,0.194828,0.960032,0.960030
1,0.022867,0.195070,0.953637,0.953566
2,0.029244,0.191680,0.960032,0.960034
3,0.023786,0.196991,0.960032,0.960057
4,0.020355,0.231934,0.951239,0.951191
5,0.023493,0.196560,0.957634,0.957619
6,0.024629,0.217989,0.953637,0.953650
7,0.023421,0.188417,0.960032,0.960016
8,0.026601,0.209436,0.952838,0.952636
9,0.017771,0.181116,0.961631,0.961592
10,0.021731,0.180180,0.956035,0.956004
11,0.020065,0.183685,0.959233,0.959229
12,0.008212,0.176327,0.960831,0.960703
13,0.009052,0.184969,0.958433,0.958402
14,0.007744,0.175142,0.962430,0.962401
15,0.009900,0.187099,0.956835,0.956650
16,0.007444,0.180932,0.961631,0.961592
17,0.006978,0.186630,0.960831,0.960798
18,0.006819,0.182730,0.959233,0.959169
19,0.006649,0.182265,0.960032,0.960010
