epoch,train_loss,valid_loss,accuracy,f_beta
0,0.033015,0.192716,0.946443,0.946483
1,0.035106,0.192719,0.956035,0.956073
2,0.038856,0.225253,0.947242,0.947197
3,0.055822,0.213213,0.945643,0.945596
4,0.063679,0.254686,0.943245,0.943080
5,0.045616,0.176998,0.951239,0.951216
6,0.077586,0.157568,0.956035,0.956102
7,0.104534,0.139513,0.958433,0.958459
8,0.059944,0.172933,0.958433,0.958375
9,0.061282,0.171705,0.956835,0.956799
10,0.064895,0.167230,0.958433,0.958454
11,0.041857,0.227752,0.948841,0.948819
12,0.046314,0.212700,0.954436,0.954434
13,0.032294,0.176358,0.956035,0.955944
14,0.025382,0.158007,0.962430,0.962461
15,0.027943,0.142631,0.962430,0.962410
16,0.023888,0.137050,0.967226,0.967244
17,0.019791,0.143364,0.966427,0.966368
18,0.010439,0.153030,0.968825,0.968826
19,0.011831,0.157810,0.968026,0.967985
20,0.008802,0.141520,0.970424,0.970389
21,0.004552,0.146391,0.969624,0.969639
22,0.005526,0.141465,0.968026,0.967984
23,0.002622,0.143303,0.972022,0.971968
24,0.002272,0.138487,0.972022,0.972012
25,0.002824,0.151615,0.970424,0.970361
26,0.002083,0.143660,0.974420,0.974413
27,0.002879,0.147170,0.972822,0.972795
28,0.000754,0.139277,0.973621,0.973624
29,0.000761,0.145074,0.972822,0.972805
